x,y,z
42.46,54.2,12.11
42.5,54.13,12.07
42.52,54.03,12.06
42.53,53.94,12.02
42.55,53.86,11.99
42.59,53.79,11.96
42.62,53.72,11.92
42.66,53.66,11.87
42.7,53.59,11.84
43.14,52.7,11.31
43.17,52.63,11.27
43.22,52.57,11.23
43.26,52.51,11.2
43.28,52.45,11.17
43.32,52.38,11.14
43.35,52.34,11.09
43.39,52.26,11.06
43.43,52.22,11.01
43.44,52.14,10.98
43.49,52.09,10.94
43.51,52.02,10.91
44.01,51.27,10.36
44.05,51.24,10.32
44.08,51.18,10.29
44.1,51.15,10.24
44.13,51.06,10.21
44.19,51.03,10.16
44.22,50.95,10.14
44.26,50.94,10.09
44.26,50.85,10.07
44.32,50.84,10.01
44.35,50.75,9.99
37.89,11.86,23.24
44.9,50.12,9.41
44.93,50.05,9.38
44.97,50.04,9.31
45.01,49.99,9.27
45.07,49.97,9.23
45.08,49.9,9.2
45.12,49.91,9.15
45.15,49.84,9.12
45.21,49.83,9.07
45.24,49.75,9.05
45.29,49.74,9.01
45.3,49.66,8.99
45.88,49.18,8.52
45.93,49.18,8.49
45.97,49.13,8.46
46.02,49.14,8.41
46.06,49.07,8.39
46.12,49.07,8.35
46.15,49.02,8.34
46.21,49.04,8.3
46.25,48.99,8.29
46.3,48.98,8.25
46.34,48.93,8.23
46.41,48.94,8.2
46.43,48.87,8.18
47.12,48.56,7.89
47.19,48.57,7.86
47.24,48.52,7.86
47.29,48.52,7.84
47.34,48.48,7.83
47.4,48.48,7.82
47.45,48.45,7.8
47.51,48.45,7.77
47.56,48.43,7.75
47.61,48.42,7.73
47.65,48.39,7.72
47.71,48.38,7.71
48.44,48.1,7.52
48.48,48.06,7.51
48.53,48.05,7.5
48.59,48.05,7.48
48.64,48.03,7.47
48.7,48.01,7.46
48.75,47.99,7.47
48.81,47.98,7.46
48.86,47.94,7.45
48.92,47.95,7.43
48.96,47.92,7.42
49.02,47.92,7.4
49.08,47.89,7.39
49.79,47.64,7.23
49.85,47.64,7.22
49.89,47.6,7.21
49.93,47.59,7.19
49.98,47.56,7.19
50.05,47.56,7.17
50.09,47.5,7.17
50.13,47.5,7.16
50.16,47.44,7.15
50.24,47.45,7.13
50.28,47.41,7.13
50.33,47.42,7.12
50.36,47.36,7.11
51.02,47.05,6.96
51.08,47.05,6.93
51.12,47.01,6.93
51.18,47.02,6.91
51.22,46.96,6.91
51.25,46.95,6.9
51.3,46.91,6.9
51.37,46.92,6.88
51.4,46.87,6.87
51.45,46.88,6.86
51.49,46.82,6.86
51.54,46.82,6.84
52.22,46.54,6.76
52.26,46.49,6.76
52.33,46.51,6.74
52.37,46.46,6.75
52.43,46.48,6.75
52.48,46.44,6.75
52.53,46.45,6.74
52.57,46.42,6.74
52.64,46.43,6.73
52.69,46.38,6.73
52.75,46.4,6.73
52.79,46.35,6.75
52.85,46.38,6.74
53.66,46.26,6.77
53.71,46.24,6.78
53.77,46.25,6.78
53.83,46.23,6.78
53.89,46.24,6.79
53.94,46.22,6.8
54.01,46.22,6.8
54.06,46.21,6.8
54.13,46.22,6.82
54.19,46.2,6.83
54.24,46.2,6.83
54.31,46.18,6.86
54.38,46.2,6.87
55.22,46.07,7.03
55.27,46.05,7.05
55.32,46.04,7.07
55.39,46.06,7.07
55.45,46.04,7.08
55.51,46.03,7.08
55.57,46,7.1
55.63,46,7.12
55.67,45.97,7.14
55.74,45.98,7.14
55.8,45.95,7.16
55.86,45.95,7.16
56.63,45.74,7.31
56.67,45.7,7.32
56.74,45.71,7.33
56.78,45.66,7.35
56.84,45.68,7.35
56.88,45.62,7.36
56.94,45.64,7.36
56.98,45.59,7.38
57.05,45.61,7.38
57.08,45.56,7.4
57.15,45.56,7.39
57.19,45.51,7.4
57.26,45.54,7.41
57.94,45.29,7.48
57.97,45.24,7.48
58.04,45.24,7.48
58.07,45.18,7.5
58.13,45.19,7.5
58.15,45.13,7.51
58.22,45.15,7.5
58.26,45.1,7.51
58.33,45.11,7.52
58.35,45.06,7.53
58.41,45.07,7.52
58.46,45.03,7.53
72.76,36.17,11.37
59.31,44.78,7.64
59.35,44.73,7.66
59.42,44.76,7.67
59.45,44.71,7.68
59.52,44.72,7.69
59.57,44.68,7.7
59.62,44.69,7.71
59.67,44.65,7.73
59.73,44.67,7.74
59.78,44.64,7.75
59.85,44.66,7.75
59.89,44.61,7.77
59.96,44.64,7.78
60.76,44.48,8.04
60.81,44.45,8.06
60.88,44.46,8.09
60.93,44.43,8.11
60.99,44.45,8.13
61.05,44.43,8.14
61.12,44.43,8.17
61.18,44.41,8.2
61.24,44.42,8.22
61.29,44.38,8.25
61.35,44.4,8.26
61.41,44.38,8.27
61.47,44.39,8.29
62.32,44.26,8.64
62.38,44.26,8.67
62.42,44.23,8.69
62.5,44.22,8.71
62.56,44.21,8.74
62.62,44.2,8.77
62.66,44.18,8.8
62.72,44.18,8.81
62.77,44.14,8.82
62.83,44.12,8.84
62.88,44.09,8.87
62.94,44.11,8.89
63.68,43.89,9.14
63.75,43.86,9.17
63.82,43.84,9.22
63.86,43.82,9.22
63.91,43.84,9.22
63.95,43.8,9.25
64.01,43.81,9.26
64.06,43.76,9.27
64.14,43.82,9.27
