x,y,z
6.88,67.25,3.92
6.84,67.25,3.88
6.78,67.21,3.87
6.74,67.21,3.82
6.68,67.18,3.81
6.63,67.17,3.77
6.56,67.14,3.75
6.52,67.14,3.71
6.47,67.1,3.7
6.43,67.1,3.65
5.71,66.84,3.35
5.64,66.8,3.34
5.6,66.8,3.31
5.55,66.76,3.3
5.5,66.76,3.27
5.46,66.73,3.25
5.43,66.74,3.21
5.38,66.7,3.21
5.32,66.71,3.16
5.25,66.66,3.16
5.2,66.66,3.12
5.15,66.62,3.13
5.13,66.63,3.1
5.07,66.59,3.1
5.03,66.59,3.06
4.37,66.36,2.79
4.33,66.32,2.79
4.3,66.32,2.76
4.22,66.28,2.76
4.18,66.29,2.72
4.13,66.25,2.72
4.1,66.25,2.69
4.04,66.22,2.7
4,66.23,2.66
3.95,66.2,2.66
3.93,66.2,2.63
3.88,66.16,2.63
3.82,66.16,2.59
3.75,66.12,2.59
3.73,66.13,2.57
3.12,65.92,2.37
3.06,65.89,2.36
3.02,65.9,2.34
2.98,65.87,2.33
2.96,65.87,2.31
2.91,65.84,2.32
2.86,65.84,2.3
2.79,65.81,2.29
2.76,65.81,2.27
2.72,65.78,2.28
2.68,65.78,2.24
2.64,65.75,2.24
2.61,65.77,2.21
2.57,65.74,2.21
2.52,65.74,2.18
1.94,65.58,2
1.91,65.56,2
1.85,65.55,1.97
1.8,65.53,1.97
1.76,65.54,1.94
1.72,65.5,1.95
1.7,65.51,1.92
1.64,65.48,1.92
1.61,65.5,1.89
1.57,65.47,1.89
1.53,65.47,1.86
1.48,65.44,1.86
1.43,65.45,1.84
1.39,65.42,1.84
0.83,65.3,1.7
0.79,65.31,1.68
0.76,65.29,1.68
0.73,65.29,1.66
0.68,65.27,1.66
0.65,65.28,1.64
0.6,65.25,1.65
0.56,65.26,1.62
0.52,65.24,1.62
0.47,65.25,1.59
0.45,65.22,1.61
0.43,65.23,1.59
0.39,65.21,1.59
0.33,65.22,1.56
0.28,65.19,1.56
0.24,65.08,1.48
0.28,65.1,1.45
0.35,65.07,1.46
0.39,65.08,1.43
0.42,65.05,1.44
0.43,65.06,1.43
0.47,65.04,1.43
0.53,65.06,1.4
0.57,65.03,1.42
0.59,65.05,1.4
0.62,65.02,1.42
0.68,65.03,1.41
0.74,65.01,1.41
0.77,65,1.4
1.29,64.92,1.37
1.33,64.9,1.38
1.37,64.9,1.37
1.42,64.89,1.38
1.45,64.89,1.37
1.48,64.88,1.37
1.53,64.88,1.37
1.57,64.87,1.37
1.6,64.88,1.36
1.63,64.85,1.38
1.67,64.87,1.36
1.73,64.84,1.36
1.75,64.85,1.35
64.46,45.78,25.57
2.33,64.79,1.3
2.37,64.8,1.29
2.39,64.79,1.29
2.43,64.79,1.28
2.46,64.78,1.29
2.52,64.79,1.28
2.54,64.78,1.28
2.58,64.78,1.29
2.61,64.77,1.29
2.66,64.78,1.28
2.7,64.76,1.28
2.74,64.78,1.27
2.77,64.75,1.29
3.3,64.75,1.26
3.34,64.75,1.25
3.38,64.74,1.25
3.42,64.74,1.26
3.44,64.73,1.26
3.48,64.74,1.25
3.53,64.74,1.26
3.56,64.74,1.26
3.6,64.73,1.26
3.64,64.74,1.26
3.67,64.73,1.27
3.71,64.73,1.27
3.74,64.72,1.27
3.79,64.73,1.27
4.33,64.71,1.28
4.35,64.71,1.29
4.37,64.71,1.29
4.4,64.71,1.3
4.46,64.72,1.3
4.5,64.71,1.29
4.54,64.72,1.29
4.56,64.71,1.31
4.61,64.71,1.31
4.65,64.71,1.31
4.68,64.72,1.32
4.73,64.7,1.32
4.77,64.71,1.32
5.29,64.72,1.34
5.34,64.72,1.34
5.36,64.72,1.34
5.39,64.72,1.35
5.42,64.72,1.37
5.46,64.72,1.36
5.51,64.72,1.37
5.55,64.71,1.38
5.58,64.72,1.38
5.62,64.71,1.39
5.67,64.72,1.38
5.68,64.71,1.4
5.71,64.71,1.41
5.77,64.72,1.4
6.28,64.72,1.47
6.32,64.72,1.46
6.37,64.72,1.47
6.41,64.73,1.47
6.43,64.73,1.47
6.49,64.73,1.47
6.52,64.74,1.47
6.56,64.74,1.48
6.6,64.74,1.49
6.62,64.75,1.49
6.67,64.75,1.5
6.72,64.74,1.5
6.75,64.74,1.52
6.78,64.74,1.53
7.31,64.78,1.58
7.35,64.79,1.58
7.39,64.78,1.59
7.43,64.78,1.59
7.46,64.78,1.61
7.5,64.79,1.62
7.54,64.8,1.64
7.59,64.8,1.63
7.63,64.79,1.64
7.68,64.79,1.64
7.69,64.78,1.67
7.72,64.79,1.67
7.77,64.79,1.68
8.31,64.8,1.78
8.33,64.81,1.77
8.37,64.8,1.8
8.42,64.81,1.8
8.47,64.8,1.81
8.51,64.82,1.8
8.54,64.81,1.82
8.57,64.82,1.82
8.59,64.81,1.84
8.64,64.82,1.83
8.68,64.82,1.84
8.74,64.84,1.83
8.78,64.83,1.84
8.8,64.84,1.85
9.35,64.88,1.95
9.39,64.88,1.96
9.42,64.89,1.95
9.48,64.89,1.97
9.49,64.89,1.97
9.51,64.88,1.99
9.57,64.9,1.99
9.6,64.9,2
9.66,64.91,1.99
9.69,64.89,2.02
9.73,64.91,2.01
9.76,64.89,2.04
9.81,64.92,2.04
65.56,44.63,26.5
10.38,64.93,2.16
10.43,64.94,2.15
10.48,64.94,2.16
10.51,64.95,2.16
10.54,64.95,2.17
10.57,64.96,2.18
10.63,64.95,2.19
10.67,64.96,2.18
10.7,64.96,2.2
10.74,64.97,2.2
10.76,64.97,2.23
10.82,64.98,2.22
11.37,65,2.32
11.38,64.99,2.35
11.43,65,2.35
11.49,64.99,2.36
11.54,65.01,2.34
11.57,64.99,2.36
11.6,65.01,2.35
11.63,65,2.38
11.68,65.03,2.36
11.72,65.02,2.38
11.77,65.03,2.37
11.8,65.01,2.4
11.83,65.03,2.39
12.38,65.08,2.47
12.41,65.07,2.49
12.45,65.08,2.48
12.5,65.07,2.49
12.55,65.08,2.49
12.57,65.07,2.5
12.6,65.09,2.5
12.64,65.09,2.52
12.7,65.11,2.51
12.75,65.09,2.52
12.77,65.1,2.52
12.8,65.1,2.54
13.37,65.15,2.62
13.41,65.16,2.61
13.43,65.14,2.64
13.46,65.16,2.64
13.5,65.14,2.66
13.55,65.16,2.66
13.6,65.14,2.67
13.63,65.15,2.67
13.64,65.13,2.69
13.7,65.15,2.69
13.74,65.13,2.72
13.78,65.15,2.7
13.8,65.13,2.73
14.35,65.15,2.8
14.41,65.17,2.79
14.43,65.15,2.82
14.47,65.18,2.82
14.5,65.15,2.83
14.55,65.17,2.82
14.58,65.14,2.86
14.61,65.17,2.85
14.64,65.15,2.88
14.7,65.17,2.87
14.72,65.14,2.9
14.79,65.16,2.89
14.8,65.14,2.92
15.34,65.1,3.06
15.37,65.12,3.05
15.39,65.1,3.06
15.44,65.11,3.07
15.48,65.1,3.09
15.52,65.12,3.08
15.55,65.08,3.1
15.59,65.11,3.09
15.62,65.08,3.11
15.67,65.1,3.11
15.69,65.07,3.14
15.74,65.1,3.13
16.26,65.07,3.23
16.29,65.03,3.26
16.34,65.06,3.24
16.36,65.02,3.28
16.41,65.05,3.27
16.43,65.02,3.3
16.5,65.04,3.29
16.52,65.01,3.31
16.55,65.03,3.31
16.57,65.01,3.34
16.62,65.03,3.33
16.65,65,3.35
16.72,65.02,3.34
17.21,64.97,3.46
17.24,64.94,3.48
17.28,64.95,3.48
17.3,64.92,3.51
17.33,64.94,3.5
17.37,64.91,3.53
17.42,64.94,3.52
17.45,64.9,3.55
17.48,64.92,3.55
17.5,64.9,3.58
17.56,64.92,3.56
17.59,64.88,3.59
17.63,64.9,3.58
18.11,64.83,3.69
18.14,64.79,3.72
18.18,64.82,3.71
18.22,64.78,3.74
18.24,64.8,3.73
18.25,64.77,3.76
18.32,64.79,3.75
18.35,64.75,3.78
18.4,64.76,3.77
18.4,64.73,3.8
18.44,64.75,3.8
18.48,64.72,3.81
18.94,64.62,3.94
19,64.64,3.92
19.01,64.6,3.95
19.05,64.63,3.94
19.08,64.59,3.98
19.12,64.61,3.96
19.15,64.58,3.98
19.18,64.59,3.98
19.2,64.56,4
19.26,64.58,3.99
19.29,64.55,4.01
19.32,64.57,4.01
19.34,64.55,4.02
19.81,64.45,4.14
19.86,64.47,4.12
19.89,64.44,4.15
19.92,64.46,4.14
19.95,64.43,4.17
19.99,64.45,4.15
20.02,64.41,4.18
20.06,64.43,4.17
20.07,64.39,4.2
20.11,64.4,4.2
20.14,64.37,4.23
20.2,64.39,4.22
120.29,33.36,15.11
20.72,64.22,4.41
20.77,64.24,4.39
20.78,64.21,4.42
20.82,64.22,4.42
20.84,64.18,4.45
20.89,64.2,4.44
20.91,64.16,4.46
20.96,64.19,4.44
20.97,64.15,4.47
21.01,64.17,4.47
21.04,64.14,4.49
21.08,64.15,4.48
21.11,64.13,4.5
21.56,64.02,4.62
21.59,64.04,4.61
21.62,64.01,4.64
21.66,64.03,4.62
21.68,64,4.66
21.73,64.01,4.65
21.74,63.97,4.68
21.79,63.99,4.67
21.81,63.96,4.69
21.85,63.97,4.68
21.88,63.95,4.7
21.91,63.97,4.7
21.93,63.93,4.72
22.38,63.84,4.84
22.44,63.85,4.84
22.45,63.84,4.85
22.5,63.85,4.84
22.52,63.83,4.86
22.57,63.84,4.86
22.58,63.82,4.88
22.63,63.83,4.87
22.65,63.8,4.9
22.69,63.8,4.89
22.71,63.78,4.9
22.76,63.8,4.9
23.21,63.75,5
23.24,63.73,5.02
23.29,63.74,5.01
23.3,63.71,5.04
23.33,63.72,5.04
23.36,63.7,5.05
23.42,63.72,5.05
23.43,63.68,5.07
23.47,63.7,5.07
23.49,63.69,5.09
23.53,63.7,5.09
23.59,63.68,5.1
23.63,63.7,5.08
24.05,63.64,5.19
24.08,63.63,5.21
24.14,63.64,5.2
24.16,63.62,5.21
24.21,63.63,5.21
24.2,63.61,5.23
24.25,63.62,5.23
24.29,63.61,5.24
24.34,63.62,5.24
24.35,63.6,5.25
24.38,63.61,5.25
24.42,63.6,5.27
24.47,63.62,5.26
24.91,63.57,5.37
24.95,63.57,5.38
25,63.58,5.37
25.01,63.56,5.39
25.04,63.57,5.4
25.09,63.57,5.41
25.12,63.57,5.41
25.16,63.56,5.42
25.18,63.55,5.43
25.21,63.54,5.44
25.26,63.56,5.44
25.3,63.55,5.45
25.78,63.55,5.55
25.81,63.56,5.55
25.85,63.56,5.55
25.88,63.57,5.56
25.92,63.58,5.56
25.96,63.58,5.57
25.99,63.57,5.57
26.03,63.57,5.57
26.07,63.57,5.58
26.1,63.58,5.6
26.12,63.57,5.6
26.17,63.59,5.6
26.21,63.58,5.61
26.69,63.56,5.74
26.74,63.56,5.73
26.77,63.56,5.74
26.8,63.56,5.76
26.81,63.55,5.76
26.85,63.55,5.78
26.89,63.55,5.78
26.93,63.55,5.79
26.96,63.55,5.8
26.99,63.56,5.81
27.03,63.55,5.81
27.08,63.56,5.82
139.48,29.16,12.81
27.69,63.6,5.91
27.74,63.61,5.92
27.76,63.59,5.94
27.8,63.6,5.93
27.82,63.59,5.94
27.86,63.6,5.95
27.91,63.6,5.95
27.95,63.61,5.96
27.99,63.62,5.96
28.01,63.61,5.97
28.04,63.62,5.97
28.1,63.63,5.98
28.13,63.62,5.98
28.62,63.65,6.07
28.66,63.66,6.08
28.7,63.66,6.09
28.75,63.66,6.09
28.78,63.67,6.09
28.82,63.67,6.09
28.85,63.67,6.11
28.88,63.68,6.11
28.92,63.69,6.12
28.97,63.69,6.13
29,63.69,6.13
29.03,63.68,6.14
29.06,63.68,6.15
29.57,63.72,6.25
29.62,63.72,6.26
29.67,63.73,6.26
29.7,63.72,6.27
29.74,63.74,6.26
29.77,63.72,6.29
29.81,63.74,6.29
29.84,63.73,6.3
29.88,63.75,6.29
29.91,63.73,6.32
29.94,63.75,6.31
29.97,63.73,6.34
30.47,63.75,6.44
30.53,63.76,6.43
30.56,63.76,6.44
30.59,63.76,6.45
30.63,63.75,6.46
30.67,63.78,6.46
30.7,63.77,6.47
30.75,63.79,6.47
30.77,63.77,6.49
30.81,63.78,6.49
30.86,63.78,6.49
30.88,63.78,6.49
30.92,63.78,6.5
31.44,63.81,6.59
31.48,63.83,6.58
31.51,63.82,6.61
31.56,63.84,6.6
31.58,63.83,6.62
31.63,63.83,6.63
31.66,63.82,6.64
31.71,63.83,6.64
31.72,63.81,6.65
31.76,63.83,6.66
31.79,63.82,6.68
31.85,63.84,6.67
31.87,63.82,6.68
32.35,63.83,6.78
32.4,63.85,6.78
32.43,63.84,6.79
32.49,63.86,6.78
32.49,63.84,6.8
32.55,63.85,6.81
32.58,63.84,6.82
32.63,63.86,6.81
32.66,63.85,6.82
32.68,63.86,6.83
32.71,63.85,6.85
32.76,63.87,6.84
33.27,63.87,6.94
33.29,63.85,6.96
33.32,63.86,6.97
33.35,63.84,6.98
33.4,63.86,6.97
33.42,63.84,6.99
33.45,63.86,6.99
33.49,63.84,7.01
33.54,63.86,7
33.56,63.84,7.02
33.61,63.87,7.01
33.62,63.84,7.04
33.68,63.86,7.03
34.15,63.84,7.15
34.17,63.81,7.17
34.22,63.83,7.16
34.24,63.81,7.18
34.29,63.83,7.18
34.3,63.81,7.19
34.36,63.83,7.19
34.38,63.8,7.21
34.43,63.82,7.21
34.45,63.8,7.23
34.49,63.82,7.23
34.5,63.79,7.26
79.52,7.05,9.14
35.02,63.78,7.35
35.05,63.76,7.36
35.09,63.78,7.36
35.11,63.75,7.39
35.15,63.78,7.37
35.18,63.75,7.4
35.22,63.78,7.39
35.24,63.75,7.41
35.27,63.76,7.4
35.3,63.73,7.43
35.35,63.75,7.42
35.36,63.73,7.44
35.81,63.68,7.58
35.86,63.7,7.57
35.87,63.66,7.59
35.93,63.69,7.58
35.94,63.66,7.6
35.98,63.68,7.59
35.98,63.64,7.62
36.04,63.66,7.61
36.06,63.64,7.63
36.11,63.67,7.63
36.12,63.63,7.65
36.17,63.65,7.65
36.2,63.63,7.67
36.62,63.56,7.8
36.67,63.58,7.8
36.69,63.55,7.81
36.73,63.57,7.8
36.74,63.53,7.83
36.78,63.55,7.82
36.8,63.51,7.85
36.85,63.54,7.85
36.87,63.52,7.87
36.9,63.52,7.86
36.93,63.49,7.89
36.98,63.51,7.88
36.97,63.48,7.91
37.38,63.38,8.04
37.43,63.41,8.03
37.44,63.37,8.06
37.49,63.4,8.05
37.5,63.36,8.07
37.55,63.38,8.07
37.56,63.36,8.09
37.6,63.37,8.08
37.63,63.34,8.11
37.67,63.36,8.1
37.68,63.32,8.14
37.73,63.34,8.12
38.12,63.25,8.25
38.14,63.21,8.28
38.18,63.23,8.27
38.19,63.19,8.31
38.23,63.21,8.3
38.24,63.19,8.32
38.3,63.19,8.32
38.32,63.16,8.34
38.36,63.18,8.34
38.35,63.14,8.37
38.4,63.16,8.36
38.42,63.14,8.38
38.46,63.15,8.37
38.85,63.05,8.49
38.86,63.02,8.52
38.92,63.04,8.51
38.93,63,8.53
38.97,63.02,8.53
38.97,62.98,8.56
39.03,63.02,8.55
39.05,62.98,8.57
39.11,63.01,8.56
39.1,62.97,8.58
39.13,62.98,8.58
39.15,62.95,8.61
21.94,51.31,37.61
39.58,62.87,8.72
39.6,62.84,8.74
39.65,62.86,8.73
39.65,62.83,8.76
39.69,62.85,8.75
39.72,62.82,8.78
39.75,62.84,8.77
39.77,62.8,8.8
39.82,62.82,8.79
39.83,62.78,8.82
39.85,62.79,8.81
39.85,62.76,8.84
40.26,62.66,8.96
40.3,62.68,8.95
40.31,62.65,8.97
40.34,62.66,8.97
40.37,62.63,9
40.41,62.65,8.98
40.42,62.62,9.01
40.47,62.64,9
40.49,62.6,9.03
40.53,62.62,9.02
40.54,62.59,9.05
40.58,62.61,9.05
40.59,62.58,9.07
40.95,62.45,9.21
41,62.46,9.2
40.99,62.41,9.24
41.04,62.43,9.24
41.04,62.39,9.27
41.1,62.42,9.25
41.11,62.37,9.27
41.15,62.39,9.27
41.14,62.35,9.3
41.2,62.38,9.3
41.21,62.34,9.32
41.26,62.36,9.31
41.6,62.24,9.44
41.61,62.2,9.47
41.67,62.23,9.46
41.69,62.19,9.49
41.71,62.21,9.48
41.71,62.16,9.51
41.76,62.18,9.5
41.77,62.14,9.52
41.82,62.18,9.51
41.83,62.15,9.53
41.86,62.16,9.52
41.88,62.12,9.55
41.91,62.14,9.54
42.27,62.01,9.69
42.28,61.98,9.71
42.33,61.99,9.71
42.34,61.96,9.73
42.37,61.97,9.73
42.38,61.94,9.75
42.43,61.97,9.74
42.45,61.93,9.77
42.49,61.96,9.75
42.49,61.92,9.78
