x,y,z
92.19,51.81,20.8
92.25,51.82,20.86
92.31,51.82,20.92
92.35,51.82,20.98
93.08,51.87,21.8
93.13,51.87,21.86
93.19,51.87,21.92
93.24,51.87,21.97
93.28,51.86,22.03
93.33,51.86,22.09
93.38,51.86,22.14
93.43,51.87,22.19
93.47,51.87,22.25
93.52,51.87,22.3
93.57,51.87,22.35
94.2,51.86,23.08
94.24,51.87,23.12
94.29,51.87,23.18
94.32,51.86,23.22
94.37,51.86,23.27
94.41,51.87,23.31
94.45,51.87,23.35
94.49,51.87,23.4
94.52,51.85,23.45
94.57,51.85,23.5
94.61,51.85,23.54
94.65,51.86,23.59
95.17,51.84,24.19
95.21,51.84,24.23
95.24,51.82,24.28
95.29,51.83,24.32
95.32,51.83,24.36
95.36,51.82,24.4
95.39,51.82,24.44
95.43,51.81,24.49
95.46,51.81,24.52
95.49,51.81,24.56
95.53,51.81,24.6
95.56,51.81,24.64
96,51.74,25.18
96.04,51.73,25.21
96.07,51.74,25.25
96.1,51.73,25.29
96.13,51.72,25.33
96.16,51.7,25.37
96.18,51.7,25.4
96.22,51.7,25.43
96.25,51.7,25.47
96.27,51.69,25.5
96.29,51.68,25.53
96.31,51.68,25.56
96.67,51.62,26.01
96.69,51.62,26.04
96.72,51.62,26.07
96.74,51.62,26.1
96.75,51.62,26.12
96.79,51.61,26.16
96.81,51.6,26.19
96.83,51.6,26.22
96.85,51.6,26.25
96.88,51.6,26.27
96.89,51.59,26.3
92.81,19.57,69.94
97.24,51.51,26.77
97.26,51.5,26.8
97.28,51.5,26.82
97.31,51.49,26.86
97.33,51.49,26.88
97.33,51.48,26.91
97.35,51.48,26.93
97.37,51.47,26.96
97.4,51.47,26.98
97.4,51.45,27.01
97.42,51.46,27.03
97.45,51.44,27.06
97.68,51.39,27.39
97.68,51.39,27.41
97.69,51.39,27.43
97.71,51.39,27.45
97.72,51.38,27.47
97.74,51.38,27.49
97.75,51.37,27.52
97.76,51.38,27.53
97.79,51.36,27.56
97.79,51.36,27.58
97.8,51.36,27.6
97.82,51.36,27.62
97.99,51.34,27.88
98,51.34,27.9
98.01,51.34,27.92
98.01,51.33,27.93
98.02,51.33,27.95
98.02,51.33,27.96
98.04,51.33,27.98
98.05,51.32,28.01
98.07,51.32,28.02
98.08,51.33,28.03
98.08,51.34,28.04
98.09,51.32,28.07
98.2,51.32,28.28
98.22,51.32,28.29
98.22,51.32,28.3
98.22,51.33,28.32
98.24,51.33,28.33
98.23,51.33,28.34
98.24,51.32,28.36
98.25,51.32,28.37
98.24,51.32,28.38
98.24,51.32,28.39
98.25,51.32,28.41
7.43,29.56,47.49
98.34,51.35,28.58
98.34,51.35,28.59
98.33,51.35,28.6
98.34,51.35,28.61
98.34,51.36,28.61
98.33,51.37,28.61
98.34,51.38,28.62
98.35,51.38,28.64
98.35,51.38,28.65
98.36,51.38,28.66
98.36,51.39,28.67
98.38,51.44,28.78
98.38,51.43,28.8
98.4,51.44,28.8
98.39,51.45,28.81
98.39,51.45,28.82
98.39,51.44,28.83
98.39,51.45,28.83
98.4,51.46,28.84
98.4,51.47,28.84
98.39,51.47,28.85
98.4,51.48,28.85
98.39,51.48,28.86
98.38,51.57,28.93
98.38,51.58,28.93
98.37,51.58,28.94
98.37,51.59,28.93
98.37,51.6,28.94
98.36,51.62,28.93
98.36,51.62,28.94
98.35,51.62,28.95
98.36,51.63,28.95
98.35,51.65,28.95
98.35,51.65,28.95
98.36,51.65,28.96
98.3,51.77,28.99
98.29,51.77,28.99
98.29,51.79,28.99
98.29,51.79,28.99
98.29,51.79,29
98.28,51.79,29
98.27,51.81,28.99
98.28,51.83,29
98.27,51.84,28.99
98.26,51.84,29
98.26,51.84,29.01
98.25,51.84,29.01
98.19,51.95,29.03
98.18,51.96,29.03
98.17,51.96,29.03
98.18,51.97,29.03
98.17,51.99,29.03
98.17,52,29.03
98.16,52,29.03
98.15,52,29.04
98.14,52,29.04
98.13,52.02,29.03
98.14,52.04,29.03
58.3,59.79,29.38
98.01,52.16,29.02
98,52.16,29.02
98,52.17,29.02
97.99,52.18,29.02
97.97,52.18,29.02
97.96,52.19,29.02
97.97,52.19,29.02
97.96,52.2,29.02
97.95,52.21,29.02
97.95,52.21,29.02
97.93,52.22,29.02
97.93,52.23,29.02
97.81,52.27,29.04
97.8,52.28,29.04
97.79,52.27,29.05
97.78,52.27,29.06
97.77,52.28,29.05
97.78,52.3,29.05
97.77,52.3,29.05
97.76,52.29,29.06
97.75,52.3,29.05
97.74,52.32,29.05
97.73,52.32,29.05
97.73,52.32,29.06
97.58,52.38,29.05
97.59,52.39,29.06
97.56,52.39,29.05
97.55,52.39,29.06
97.54,52.4,29.06
97.53,52.4,29.05
97.52,52.41,29.06
97.51,52.41,29.06
97.52,52.41,29.06
97.49,52.41,29.06
97.48,52.42,29.06
97.47,52.42,29.06
97.32,52.46,29.06
97.32,52.47,29.06
97.3,52.47,29.06
97.29,52.47,29.07
97.28,52.47,29.07
97.27,52.46,29.08
97.26,52.47,29.07
97.25,52.48,29.07
97.24,52.48,29.07
97.23,52.49,29.07
97.22,52.49,29.07
19.22,62.46,18.55
97.04,52.56,29.06
97.03,52.56,29.07
97.01,52.56,29.07
97,52.57,29.06
96.98,52.56,29.06
96.97,52.58,29.06
96.96,52.58,29.06
96.95,52.57,29.06
96.92,52.56,29.07
96.91,52.57,29.06
96.9,52.58,29.06
96.9,52.58,29.06
96.71,52.62,29.05
96.69,52.63,29.04
96.68,52.63,29.04
96.67,52.64,29.04
96.66,52.63,29.04
96.64,52.64,29.04
96.63,52.64,29.04
96.61,52.64,29.04
96.61,52.65,29.04
96.59,52.65,29.04
96.57,52.66,29.03
96.55,52.66,29.03
96.37,52.73,29.01
96.35,52.74,29
96.34,52.74,29
96.33,52.75,28.99
96.32,52.75,29
96.31,52.76,28.99
96.31,52.77,28.99
96.27,52.78,28.97
96.25,52.78,28.97
96.23,52.78,28.97
96.24,52.78,28.98
96.23,52.79,28.98
96,52.93,28.88
95.98,52.94,28.88
95.96,52.94,28.88
95.95,52.94,28.87
95.94,52.95,28.87
95.91,52.96,28.86
95.9,52.97,28.86
95.88,52.96,28.86
95.87,52.98,28.85
95.85,52.99,28.84
95.84,53.01,28.83
28.53,6.96,20.72
95.6,53.17,28.73
95.59,53.18,28.72
95.58,53.18,28.72
95.56,53.2,28.71
95.54,53.21,28.69
95.52,53.23,28.68
95.51,53.23,28.68
95.5,53.25,28.67
95.47,53.26,28.66
95.46,53.28,28.65
95.43,53.28,28.64
95.2,53.43,28.54
95.19,53.45,28.53
95.17,53.46,28.52
95.16,53.48,28.51
95.15,53.49,28.5
95.14,53.5,28.49
95.11,53.52,28.48
95.1,53.53,28.47
95.07,53.54,28.46
95.06,53.55,28.45
95.03,53.56,28.44
95,53.57,28.43
94.76,53.77,28.29
94.73,53.78,28.28
94.72,53.8,28.27
94.71,53.8,28.27
94.68,53.81,28.25
94.67,53.83,28.24
94.64,53.85,28.22
94.61,53.86,28.21
94.6,53.87,28.2
94.58,53.88,28.2
94.57,53.91,28.18
94.56,53.92,28.17
94.28,54.09,28.04
94.27,54.1,28.03
94.26,54.11,28.02
94.23,54.11,28.02
94.21,54.13,28.01
94.19,54.14,27.99
94.17,54.16,27.98
94.16,54.17,27.98
94.15,54.18,27.97
94.13,54.2,27.96
94.11,54.2,27.95
94.09,54.23,27.93
93.83,54.36,27.83
93.8,54.36,27.82
93.79,54.38,27.81
93.77,54.39,27.8
93.76,54.41,27.79
93.73,54.41,27.78
93.7,54.42,27.77
93.69,54.44,27.76
93.66,54.45,27.74
93.65,54.46,27.74
93.63,54.47,27.73
21.02,6.99,24.56
93.32,54.61,27.6
93.31,54.63,27.59
93.29,54.64,27.59
93.27,54.64,27.58
93.24,54.64,27.58
93.22,54.65,27.57
93.21,54.67,27.56
93.18,54.68,27.55
93.17,54.69,27.54
93.14,54.69,27.53
93.12,54.7,27.53
92.85,54.8,27.44
92.82,54.8,27.43
92.81,54.82,27.42
92.78,54.81,27.42
92.77,54.81,27.42
92.74,54.81,27.42
92.73,54.82,27.41
92.71,54.82,27.41
92.68,54.82,27.4
92.67,54.83,27.4
92.64,54.84,27.39
