x,y,z
86.59,51.53,19.1
86.65,51.53,19.17
87.37,51.47,20.13
87.44,51.49,20.19
87.5,51.51,20.25
87.57,51.52,20.32
87.62,51.53,20.37
87.67,51.52,20.44
87.7,51.51,20.5
87.76,51.52,20.55
87.82,51.53,20.61
87.87,51.55,20.67
87.93,51.56,20.72
88,51.58,20.78
88.78,51.72,21.56
88.84,51.71,21.62
88.88,51.72,21.67
88.94,51.73,21.72
88.99,51.74,21.77
89.05,51.76,21.82
89.1,51.79,21.86
89.17,51.8,21.92
89.23,51.82,21.97
89.3,51.84,22.02
89.37,51.88,22.06
89.85,51.81,22.72
89.9,51.82,22.76
89.94,51.83,22.8
89.98,51.82,22.85
90,51.81,22.89
90.02,51.8,22.94
90.05,51.78,22.98
90.08,51.77,23.03
90.12,51.77,23.07
90.15,51.76,23.12
90.21,51.77,23.17
90.25,51.78,23.21
90.72,51.76,23.77
90.76,51.78,23.8
90.79,51.78,23.84
90.83,51.78,23.88
90.86,51.77,23.92
90.88,51.76,23.96
90.91,51.76,23.99
90.94,51.75,24.04
90.96,51.75,24.07
91,51.74,24.11
91.02,51.74,24.15
91.05,51.73,24.19
91.38,51.71,24.64
91.4,51.71,24.67
91.41,51.69,24.7
91.41,51.68,24.74
91.42,51.67,24.76
91.43,51.65,24.79
91.45,51.64,24.83
91.46,51.64,24.86
91.5,51.64,24.89
91.53,51.65,24.92
91.57,51.66,24.95
91.59,51.66,24.98
91.89,51.64,25.38
91.9,51.65,25.4
91.92,51.64,25.43
91.94,51.65,25.45
91.97,51.66,25.48
91.99,51.66,25.5
92.01,51.65,25.53
92.01,51.63,25.56
92.03,51.63,25.58
92.05,51.63,25.61
92.08,51.63,25.64
90.58,24.53,65.11
92.34,51.57,26.07
92.34,51.57,26.09
92.36,51.57,26.1
92.36,51.57,26.12
92.37,51.56,26.14
92.38,51.54,26.17
92.38,51.54,26.19
92.39,51.54,26.21
92.4,51.53,26.24
92.44,51.54,26.26
92.45,51.54,26.28
92.48,51.56,26.3
92.62,51.55,26.57
92.62,51.54,26.59
92.62,51.53,26.61
92.62,51.53,26.62
92.64,51.53,26.64
92.66,51.53,26.67
92.68,51.53,26.69
92.69,51.53,26.71
92.7,51.54,26.72
92.71,51.54,26.74
92.72,51.54,26.76
92.72,51.54,26.77
92.82,51.54,27
92.82,51.54,27.01
92.82,51.54,27.03
92.83,51.53,27.05
92.83,51.54,27.06
92.84,51.54,27.07
92.84,51.54,27.08
92.84,51.54,27.1
92.84,51.55,27.11
92.86,51.54,27.13
92.87,51.54,27.14
92.87,51.54,27.16
92.93,51.56,27.34
92.92,51.56,27.35
92.92,51.56,27.36
92.93,51.56,27.38
92.93,51.56,27.39
92.93,51.57,27.4
92.95,51.56,27.42
92.95,51.57,27.42
92.96,51.58,27.43
92.96,51.58,27.44
92.96,51.59,27.45
11.23,21.59,68.41
92.97,51.6,27.62
92.96,51.61,27.63
92.96,51.61,27.64
92.97,51.61,27.65
92.97,51.61,27.66
92.97,51.62,27.67
92.96,51.62,27.68
92.96,51.62,27.69
92.96,51.63,27.69
92.97,51.63,27.7
92.96,51.63,27.71
92.96,51.64,27.72
92.93,51.67,27.83
92.93,51.67,27.84
92.92,51.67,27.85
92.92,51.68,27.86
92.92,51.68,27.86
92.91,51.68,27.87
92.91,51.68,27.88
92.92,51.69,27.88
92.92,51.69,27.89
92.91,51.7,27.9
92.91,51.7,27.91
92.9,51.7,27.91
92.85,51.76,27.99
92.83,51.76,28
92.84,51.76,28
92.82,51.77,28.01
92.83,51.77,28.01
92.81,51.77,28.02
92.82,51.78,28.02
92.8,51.78,28.03
92.81,51.79,28.03
92.79,51.79,28.03
92.8,51.8,28.04
92.78,51.8,28.04
92.7,51.86,28.1
92.7,51.86,28.11
92.7,51.87,28.11
92.68,51.87,28.11
92.66,51.87,28.12
92.67,51.88,28.12
92.65,51.88,28.12
92.64,51.89,28.12
92.64,51.89,28.13
92.63,51.9,28.12
92.62,51.9,28.13
132.99,29.29,12.78
92.49,51.98,28.16
92.47,51.98,28.17
92.46,51.98,28.17
92.45,51.99,28.17
92.44,52,28.17
92.44,52,28.18
92.42,52.01,28.17
92.41,52.01,28.18
92.41,52.02,28.18
92.4,52.03,28.18
92.39,52.03,28.18
92.37,52.03,28.18
92.23,52.11,28.19
92.22,52.11,28.19
92.21,52.12,28.19
92.2,52.12,28.19
92.18,52.13,28.19
92.17,52.14,28.19
92.16,52.14,28.2
92.16,52.15,28.19
92.14,52.15,28.19
92.13,52.16,28.19
92.12,52.17,28.19
92.1,52.17,28.19
91.93,52.25,28.19
91.92,52.26,28.18
91.9,52.27,28.18
91.89,52.27,28.18
91.89,52.28,28.18
91.88,52.28,28.18
91.86,52.29,28.18
91.85,52.3,28.18
91.85,52.31,28.18
91.84,52.32,28.17
91.82,52.32,28.17
91.81,52.33,28.17
91.6,52.41,28.15
91.59,52.42,28.14
91.57,52.42,28.14
91.56,52.43,28.14
91.54,52.44,28.14
91.54,52.44,28.14
91.53,52.45,28.13
91.52,52.46,28.13
91.5,52.47,28.13
91.49,52.47,28.13
91.47,52.48,28.12
91.26,52.57,28.08
91.25,52.58,28.08
91.22,52.59,28.08
91.2,52.59,28.07
91.19,52.6,28.07
91.17,52.61,28.07
91.16,52.61,28.07
91.14,52.62,28.06
91.14,52.63,28.06
91.13,52.64,28.06
91.1,52.64,28.05
91.09,52.65,28.05
90.85,52.75,28
90.84,52.76,27.99
90.82,52.76,27.99
90.81,52.76,27.99
90.79,52.77,27.99
90.78,52.78,27.98
90.76,52.79,27.98
90.75,52.79,27.98
90.73,52.8,27.97
90.72,52.81,27.97
90.69,52.81,27.96
90.67,52.82,27.96
90.43,52.92,27.9
90.4,52.93,27.89
90.39,52.93,27.89
90.37,52.94,27.88
90.36,52.95,27.88
90.34,52.96,27.87
90.32,52.97,27.87
90.31,52.98,27.86
90.29,52.99,27.86
