x,y,z
150.47,17.87,42.26
150.26,17.94,41.78
150.05,18.02,41.28
149.83,18.1,40.78
149.62,18.17,40.28
149.4,18.24,39.78
149.19,18.31,39.27
148.98,18.38,38.77
146.21,19.16,31.58
146.03,19.2,31.05
145.85,19.23,30.53
145.67,19.27,30.01
145.49,19.31,29.49
145.31,19.33,28.97
145.14,19.37,28.44
144.97,19.39,27.92
144.8,19.41,27.39
144.64,19.44,26.87
144.47,19.46,26.34
142.4,19.49,18.96
142.26,19.48,18.44
142.14,19.45,17.92
142.01,19.44,17.38
141.89,19.41,16.85
141.77,19.39,16.34
141.64,19.37,15.8
141.53,19.34,15.28
141.42,19.31,14.76
141.31,19.27,14.24
141.2,19.24,13.72
139.95,18.52,6.49
139.89,18.45,5.98
139.82,18.39,5.47
139.76,18.31,4.96
139.7,18.24,4.46
139.63,18.16,3.95
139.57,18.09,3.45
139.52,18.01,2.94
139.47,17.93,2.44
139.41,17.85,1.94
139.36,17.76,1.44
139.32,17.67,0.94
138.91,16.31,5.88
138.91,16.21,6.36
138.89,16.09,6.83
138.89,15.98,7.31
138.88,15.87,7.77
138.88,15.75,8.25
138.88,15.64,8.72
138.87,15.52,9.18
138.88,15.4,9.65
138.88,15.28,10.11
138.89,15.16,10.57
138.9,15.05,11.03
119.74,8.75,5.51
139.25,13.13,17.7
139.28,13,18.13
139.33,12.86,18.55
139.37,12.73,18.98
139.41,12.59,19.4
139.46,12.45,19.83
139.5,12.32,20.24
139.54,12.18,20.66
139.59,12.04,21.08
139.64,11.9,21.49
139.69,11.76,21.91
140.53,9.79,27.46
140.61,9.64,27.83
140.67,9.49,28.21
140.74,9.35,28.59
140.82,9.21,28.96
140.88,9.07,29.34
140.96,8.92,29.71
141.03,8.78,30.07
141.11,8.63,30.44
141.18,8.49,30.8
141.26,8.34,31.17
141.34,8.21,31.53
141.41,8.06,31.88
142.56,6.05,36.68
142.65,5.9,37.01
142.74,5.76,37.33
142.82,5.62,37.65
142.9,5.48,37.97
143,5.33,38.3
143.08,5.19,38.62
143.17,5.05,38.93
143.26,4.91,39.24
143.35,4.77,39.56
143.43,4.63,39.87
143.52,4.49,40.17
143.62,4.35,40.48
144.86,2.4,44.55
144.94,2.27,44.82
145.03,2.14,45.1
145.12,2,45.37
145.21,1.87,45.64
145.3,1.73,45.91
145.38,1.6,46.18
145.47,1.46,46.44
145.56,1.33,46.7
145.65,1.2,46.96
145.73,1.06,47.22
145.82,0.93,47.47
146.99,0.89,50.87
147.08,1.01,51.11
147.17,1.14,51.33
147.24,1.27,51.56
147.32,1.4,51.78
147.4,1.52,52
147.48,1.65,52.22
147.56,1.77,52.44
147.63,1.9,52.66
147.72,2.02,52.88
147.79,2.15,53.09
147.87,2.26,53.3
148.89,3.95,56.07
148.95,4.07,56.26
149.02,4.19,56.44
149.09,4.31,56.62
149.16,4.43,56.81
149.22,4.54,56.98
149.28,4.65,57.16
149.35,4.77,57.33
149.41,4.88,57.51
149.48,5,57.68
149.54,5.11,57.84
149.61,5.22,58.01
150.41,6.77,60.18
150.47,6.89,60.33
150.52,6.99,60.47
150.57,7.09,60.61
150.63,7.2,60.75
150.67,7.31,60.88
150.72,7.41,61.02
150.77,7.52,61.15
150.82,7.63,61.28
150.87,7.73,61.42
150.92,7.84,61.54
150.96,7.94,61.67
151.55,9.38,63.28
151.59,9.48,63.39
151.62,9.58,63.48
151.66,9.68,63.59
151.69,9.78,63.68
151.73,9.88,63.79
151.77,9.97,63.88
151.79,10.07,63.97
151.83,10.17,64.06
151.86,10.27,64.15
151.89,10.37,64.25
152.27,11.69,65.35
152.29,11.79,65.42
152.32,11.88,65.49
152.34,11.97,65.55
152.35,12.06,65.61
152.38,12.15,65.68
152.4,12.24,65.74
152.42,12.34,65.8
152.43,12.43,65.85
152.45,12.52,65.91
152.46,12.61,65.96
152.66,13.85,66.61
152.67,13.93,66.65
152.68,14.02,66.69
152.69,14.11,66.72
152.7,14.19,66.76
152.71,14.28,66.79
152.71,14.37,66.82
152.72,14.45,66.85
152.73,14.54,66.88
152.74,14.62,66.91
152.74,14.71,66.93
152.77,15.87,67.2
152.77,15.95,67.2
152.77,16.03,67.22
152.76,16.11,67.22
152.76,16.19,67.23
152.76,16.27,67.24
152.76,16.35,67.25
152.75,16.43,67.25
152.74,16.51,67.25
152.75,16.59,67.26
152.74,16.67,67.26
152.63,17.76,67.21
152.61,17.83,67.2
152.6,17.91,67.19
152.59,17.99,67.17
152.58,18.06,67.16
152.57,18.14,67.15
152.55,18.22,67.14
152.54,18.29,67.12
152.53,18.37,67.11
152.51,18.44,67.1
152.5,18.52,67.08
152.26,19.56,66.79
152.24,19.63,66.77
152.23,19.7,66.74
152.21,19.77,66.71
152.18,19.84,66.68
152.16,19.91,66.66
152.15,19.99,66.63
152.13,20.06,66.6
152.1,20.13,66.57
152.08,20.2,66.55
152.06,20.27,66.52
151.72,21.26,66.06
151.7,21.33,66.02
151.67,21.4,65.98
151.64,21.47,65.95
151.62,21.54,65.91
151.59,21.61,65.88
151.56,21.68,65.84
151.53,21.75,65.8
151.51,21.82,65.76
151.48,21.88,65.72
151.44,21.96,65.67
151.02,22.9,65.11
150.98,22.96,65.06
150.95,23.03,65.02
150.92,23.09,64.97
150.89,23.16,64.93
150.85,23.23,64.88
150.82,23.29,64.84
150.79,23.36,64.8
150.75,23.43,64.75
150.72,23.49,64.71
150.69,23.55,64.66
150.18,24.46,64.01
150.15,24.52,63.96
150.11,24.59,63.91
150.07,24.65,63.87
150.03,24.72,63.82
149.99,24.77,63.77
149.96,24.84,63.72
149.92,24.9,63.67
149.89,24.96,63.63
149.84,25.03,63.57
149.81,25.09,63.53
149.04,25.88,62.77
148.94,25.92,62.7
148.84,25.97,62.63
148.74,26.01,62.56
148.64,26.04,62.49
148.54,26.09,62.42
148.44,26.12,62.35
148.35,26.16,62.28
148.24,26.2,62.21
148.15,26.24,62.14
148.05,26.28,62.07
146.72,26.8,61.08
146.62,26.84,61.01
146.53,26.87,60.94
146.44,26.91,60.87
146.35,26.94,60.8
146.26,26.98,60.73
146.17,27.01,60.66
146.07,27.05,60.59
145.98,27.08,60.52
145.89,27.12,60.44
145.8,27.15,60.38
144.58,27.61,59.41
144.5,27.64,59.34
144.42,27.67,59.28
144.34,27.7,59.21
144.25,27.74,59.14
144.17,27.76,59.07
144.09,27.79,59.01
144.01,27.82,58.94
143.92,27.85,58.87
143.84,27.88,58.8
143.76,27.92,58.73
142.67,28.31,57.8
142.58,28.34,57.73
142.51,28.37,57.66
142.43,28.39,57.6
142.35,28.42,57.53
142.28,28.45,57.47
142.21,28.47,57.41
142.14,28.5,57.34
142.06,28.53,57.28
141.99,28.56,57.21
141.92,28.58,57.15
140.93,28.93,56.26
140.86,28.96,56.2
140.8,28.97,56.14
140.73,29,56.07
140.66,29.02,56.01
140.59,29.05,55.95
140.53,29.07,55.89
140.46,29.09,55.83
140.39,29.12,55.76
140.33,29.13,55.71
140.26,29.16,55.64
139.38,29.46,54.81
139.32,29.48,54.75
139.26,29.5,54.69
139.2,29.52,54.63
139.14,29.54,54.57
139.08,29.56,54.52
139.03,29.58,54.46
138.96,29.6,54.4
138.91,29.62,54.35
138.85,29.63,54.29
138.79,29.65,54.24
138.01,29.9,53.46
137.97,29.92,53.41
137.91,29.94,53.35
137.86,29.96,53.3
137.81,29.97,53.25
137.75,29.99,53.2
137.71,30,53.15
137.65,30.02,53.09
137.6,30.04,53.04
137.55,30.05,52.98
137.5,30.07,52.93
136.83,30.27,52.23
136.77,30.29,52.17
136.72,30.3,52.12
136.68,30.31,52.08
136.64,30.33,52.03
136.59,30.34,51.97
136.55,30.36,51.93
136.5,30.37,51.88
136.46,30.38,51.83
136.41,30.4,51.78
136.37,30.41,51.74
135.77,30.58,51.09
135.73,30.6,51.04
135.69,30.61,50.99
135.64,30.63,50.94
135.61,30.63,50.9
135.57,30.64,50.86
135.52,30.65,50.81
135.49,30.66,50.77
135.45,30.68,50.72
135.41,30.69,50.68
135.37,30.7,50.64
134.85,30.84,50.05
134.82,30.85,50.01
134.78,30.86,49.96
134.75,30.87,49.92
134.72,30.87,49.89
134.69,30.88,49.85
134.65,30.89,49.8
134.61,30.9,49.77
134.58,30.91,49.72
134.55,30.92,49.69
134.52,30.93,49.65
6.85,21.54,49.43
152.12,21.46,68.29
8.64,9.99,72.84
6.8,8.89,53.87
6.95,10.93,78.43
13.24,19.01,26.26
10.77,17.52,70.82
4.21,0.36,70.15
168.69,51.41,16.23
0.33,24.25,25.8
6.79,3.77,41.12
1.92,2.54,82.65
133.4,31.19,48.28
133.38,31.2,48.25
133.36,31.2,48.22
133.33,31.21,48.18
133.31,31.21,48.15
133.28,31.21,48.12
133.26,31.22,48.09
133.23,31.23,48.05
133.21,31.24,48.02
133.18,31.24,47.99
133.16,31.24,47.96
132.84,31.31,47.53
132.82,31.31,47.5
132.79,31.32,47.47
132.78,31.32,47.44
132.75,31.33,47.41
132.74,31.33,47.38
132.71,31.33,47.35
132.69,31.34,47.32
132.67,31.34,47.29
132.65,31.34,47.26
132.63,31.35,47.24
132.36,31.4,46.86
132.34,31.4,46.83
132.32,31.4,46.8
132.3,31.41,46.78
132.29,31.4,46.75
132.27,31.41,46.73
132.25,31.41,46.7
132.23,31.42,46.67
132.22,31.42,46.65
132.2,31.42,46.62
132.18,31.42,46.6
131.96,31.45,46.26
131.94,31.45,46.24
131.93,31.45,46.21
131.91,31.46,46.19
131.89,31.46,46.16
131.88,31.46,46.14
131.87,31.46,46.12
131.86,31.46,46.1
131.84,31.46,46.07
131.82,31.47,46.05
131.81,31.46,46.03
131.62,31.48,45.72
131.61,31.48,45.71
131.6,31.48,45.69
131.58,31.48,45.66
131.58,31.48,45.65
131.56,31.48,45.62
131.55,31.48,45.6
131.54,31.48,45.59
131.53,31.48,45.56
131.52,31.48,45.55
131.51,31.48,45.53
131.37,31.48,45.27
131.35,31.48,45.25
131.34,31.48,45.23
131.34,31.48,45.22
131.32,31.48,45.2
131.31,31.48,45.18
131.31,31.48,45.16
131.29,31.48,45.14
131.28,31.49,45.12
131.28,31.48,45.11
131.27,31.48,45.09
131.15,31.48,44.87
131.15,31.48,44.85
131.14,31.47,44.84
131.14,31.47,44.82
131.13,31.47,44.81
131.13,31.47,44.8
131.12,31.47,44.78
131.11,31.47,44.76
131.1,31.47,44.74
131.09,31.47,44.73
131.08,31.47,44.72
4.88,25.16,22.59
131,31.44,44.51
130.99,31.44,44.49
130.99,31.44,44.48
130.98,31.44,44.47
130.98,31.43,44.45
130.97,31.43,44.44
130.96,31.43,44.42
130.96,31.43,44.41
130.95,31.43,44.4
130.95,31.43,44.38
130.94,31.43,44.37
130.88,31.4,44.2
130.88,31.4,44.19
130.89,31.4,44.18
130.88,31.39,44.17
130.87,31.39,44.16
130.87,31.39,44.15
130.87,31.39,44.14
130.87,31.39,44.12
130.86,31.39,44.11
130.86,31.38,44.1
130.85,31.38,44.09
130.82,31.35,43.95
130.81,31.34,43.94
130.81,31.35,43.92
130.82,31.34,43.92
130.81,31.34,43.91
130.81,31.34,43.9
130.8,31.33,43.89
130.81,31.33,43.88
130.8,31.33,43.87
130.8,31.33,43.86
130.8,31.32,43.85
130.78,31.29,43.73
130.78,31.29,43.72
130.78,31.28,43.71
130.78,31.28,43.7
130.78,31.28,43.7
130.78,31.27,43.68
130.77,31.27,43.67
130.78,31.27,43.67
130.77,31.26,43.66
130.77,31.26,43.65
130.77,31.26,43.64
130.77,31.21,43.53
130.78,31.2,43.53
130.77,31.2,43.52
130.78,31.2,43.52
130.77,31.2,43.5
130.78,31.19,43.5
130.77,31.19,43.49
130.78,31.19,43.49
130.77,31.19,43.49
130.78,31.18,43.47
130.77,31.18,43.47
130.79,31.13,43.38
130.79,31.12,43.37
130.79,31.12,43.37
130.79,31.12,43.35
130.8,31.11,43.35
130.8,31.1,43.35
130.8,31.1,43.34
130.8,31.1,43.33
130.8,31.1,43.33
130.8,31.1,43.32
130.8,31.09,43.31
130.83,31.03,43.24
130.83,31.03,43.23
130.83,31.03,43.23
130.84,31.02,43.23
130.83,31.03,43.22
